Название,Ссылка,Rss,Selector,Кодировка,Рекамендованно
Community,https://thecommunity.ru,https://thecommunity.ru/rss.xml,body #full-story,utf-8,
Лента.Ру (Самые свежие и самые важные новости),http://lenta.ru,http://lenta.ru/rss/top7,body .b-topic-layout .b-topic-layout__content .b-topic-layout__left .b-topic__content .b-text,utf-8,1
TJ: все новости и статьи,https://tjournal.ru,https://tjournal.ru/rss/all,body .entry_content--full .b-article,utf-8,
Лента.Ру (Новости),http://lenta.ru,http://lenta.ru/rss/news,body .b-topic-layout .b-topic-layout__content .b-topic-layout__left .b-topic__content .b-text,utf-8,
КиноПоиск: Новости,https://www.kinopoisk.ru,https://www.kinopoisk.ru/news.rss,body .article .article__content,windows-1251,1
Ведомости Все новости,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/news,,,
Ведомости Все материалы,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/articles,,,
Ведомости Последний номер газеты,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/issue,,,
Ведомости Действующие лица,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/library/characters,,,
Ведомости Расследования,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/library/investigations,,,
Ведомости Бизнес,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/business,,,
Ведомости Бизнес - ТЭК,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/business/energy,,,
Ведомости Бизнес - Промышленность,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/business/industry,,,
Ведомости Бизнес - Транспорт,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/business/transport,,,
Ведомости Бизнес - Агропром,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/business/agriculture,,,
Ведомости Бизнес - Торговля и услуги,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/business/retail,,,
Ведомости Бизнес - Спортивный бизнес,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/business/sport,,,
Ведомости Экономика,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/economics,,,
Ведомости Экономика - Макроэкономика и бюджет,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/economics/macro,,,
Ведомости Экономика - Госинвестиции и проекты,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/economics/state_investments,,,
Ведомости Экономика - Мировая экономика,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/economics/global,,,
Ведомости Экономика - Налоги и сборы,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/economics/taxes,,,
Ведомости Экономика - Правила,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/economics/regulations,,,
Ведомости Финансы,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/finance,,,
Ведомости Финансы - Банки,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/finance/banks,,,
Ведомости Финансы - Рынки,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/finance/markets,,,
Ведомости Финансы - Профучастники,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/finance/players,,,
Ведомости Финансы - Страхование,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/finance/insurance,,,
Ведомости Финансы - Персональные финансы,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/finance/personal_finance,,,
Ведомости Мнения,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/opinion,,,
Ведомости Мнения - Детали,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/opinion/details,,,
Ведомости Мнения - Аналитика,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/opinion/analytics,,,
Ведомости Мнения - От редакции,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/opinion/editorial,,,
Ведомости Политика,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/politics,,,
Ведомости Политика - Власть,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/politics/official,,,
Ведомости Политика - Демократия,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/politics/democracy,,,
Ведомости Политика - Международные отношения,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/politics/international,,,
Ведомости Политика - Безопасность и право,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/politics/security_law,,,
Ведомости Политика - Социальная политика,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/politics/social,,,
Ведомости Политика - Международная жизнь,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/politics/foreign,,,
Ведомости Технологии,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/technology,,,
Ведомости Технологии - Телекоммуникации,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/technology/telecom,,,
Ведомости Технологии - Интернет и digital,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/technology/internet,,,
Ведомости Технологии - Медиа,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/technology/media,,,
Ведомости Технологии - ИТ-бизнес,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/technology/it_business,,,
Ведомости Технологии - Персональные технологии,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/technology/personal_technologies,,,
Ведомости Технологии - Наукоемкие технологии,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/technology/hi_tech,,,
Ведомости Недвижимость,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/realty,,,
Ведомости Недвижимость - Жилая недвижимость,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/realty/housing,,,
Ведомости Недвижимость - Коммерческая недвижимость,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/realty/commercial_property,,,
Ведомости Недвижимость - Стройки и инфраструктура,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/realty/infrastructure,,,
Ведомости Недвижимость - Архитектура и дизайн,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/realty/architecture,,,
Ведомости Недвижимость - Место для жизни,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/realty/districts,,,
Ведомости Авто,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/auto,,,
